,Unnamed: 0,Respondent,Professional,ProgramHobby,Country,University,EmploymentStatus,FormalEducation,MajorUndergrad,YearsCodedJob,DeveloperType,NonDeveloperType,CareerSatisfaction,JobSatisfaction,ProblemSolving,LearningNewTech,JobSecurity,DiversityImportant,SeriousWork,WorkPayCare,ChallengeMyself,LastNewJob,AssessJobIndustry,AssessJobRole,AssessJobExp,AssessJobDept,AssessJobTech,AssessJobProjects,AssessJobCompensation,AssessJobOffice,AssessJobCommute,AssessJobRemote,AssessJobProfDevel,AssessJobDiversity,AssessJobProduct,AssessJobFinances,ImportantBenefits,JobProfile,LearnedHiring,Overpaid,EducationImportant,EducationTypes,WorkStart,HaveWorkedLanguage,WantWorkLanguage,HaveWorkedDatabase,WantWorkDatabase,HaveWorkedPlatform,WantWorkPlatform,IDE,AuditoryEnvironment,Gender,HighestEducationParents,Salary,ExpectedSalary,Assess_Scoring
3574,3574,3575,Professional developer,"Yes, both",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,1 to 5 years,Web developer; Machine learning specialist; Developer with a statistics or mathematics background; Systems administrator,,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50307.65896485172,,0.0
3590,3590,3591,Professional developer,"Yes, both",India,No,Employed full-time,Bachelor's degree,Computer programming or Web development,1 to 5 years,Web developer,,9.0,2.0,,,,,,,,Less than a year ago,Important,Important,Somewhat important,Very important,Very important,Important,Important,Very important,Very important,Very important,Important,Important,Important,Very important,Annual bonus; Health benefits; Equipment; Long-term leave; Remote options,Indeed; Naukri,A general-purpose job board,,Important,On-the-job training; Open source contributions,9:00 AM,C#; SQL,C#; SQL,SQL Server,MongoDB; SQL Server,,Amazon Web Services (AWS); Microsoft Azure,Notepad++; Visual Studio,Keep the room absolutely quiet,Male,A bachelor's degree,34152.73776106599,,30.5
3596,3596,3597,Professional developer,"Yes, I program as a hobby",India,No,Employed full-time,Master's degree,Computer science or software engineering,5 to 10 years,Web developer; Graphic designer,,6.0,4.0,Agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Agree,More than 4 years ago,Very important,Important,Important,Important,Somewhat important,Somewhat important,Important,Important,Somewhat important,Somewhat important,Important,Important,Not very important,Important,Annual bonus; Professional development sponsorship; Expected work hours; Remote options; Child/elder care,LinkedIn; Naukri,I was contacted directly by someone at the company (e.g. internal recruiter),,,,8:00 AM,JavaScript; Ruby; TypeScript,Clojure; JavaScript; Python; Ruby; TypeScript,MongoDB; MySQL; PostgreSQL,MongoDB,WordPress; Amazon Web Services (AWS),Android; iOS; Raspberry Pi,Sublime Text; Eclipse; IntelliJ,"Put on some ambient sounds (e.g. whale songs, forest sounds)",Male,A bachelor's degree,63120.60854554837,,26.0
3598,3598,3599,Professional developer,"Yes, I program as a hobby",India,No,Employed full-time,Bachelor's degree,A business discipline,5 to 10 years,Web developer,,8.0,6.0,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Less than a year ago,Important,Important,Somewhat important,Somewhat important,Important,Important,Important,Important,Important,Somewhat important,Important,Somewhat important,Important,Important,None of these,LinkedIn; Monster; Naukri,I was contacted directly by someone at the company (e.g. internal recruiter),,Somewhat important,Online course; Self-taught,2:00 PM,CoffeeScript; JavaScript,JavaScript,,,Mac OS,Mac OS,Sublime Text,Turn on some music,Male,A bachelor's degree,52440.94312624926,,26.5
3602,3602,3603,Professional developer,"Yes, I program as a hobby",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,1 to 5 years,Web developer,,6.0,6.0,,,,,,,,Between 2 and 4 years ago,Important,Important,Important,Important,Important,Important,Very important,Important,Important,Very important,Important,Important,Important,Important,Vacation/days off; Health benefits; Professional development sponsorship; Expected work hours; Remote options,,An external recruiter or headhunter,,Somewhat important,Online course,8:00 AM,Java; JavaScript; TypeScript,,,,,,Sublime Text; Eclipse,Keep the room absolutely quiet,Male,High school,44545.600362656354,,29.5
3605,3605,3606,Professional non-developer who sometimes writes code,"Yes, I contribute to open source projects",India,"Yes, full-time",Employed full-time,Bachelor's degree,Computer science or software engineering,1 to 5 years,,Analyst or consultant,10.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Self-taught,,,,,,,,,,,,38715.28756637354,,0.0
3612,3612,3613,Professional developer,"Yes, I program as a hobby",India,"Yes, part-time",Employed full-time,Bachelor's degree,Mathematics or statistics,1 to 5 years,Web developer,,8.0,6.0,,,,,,,,Between 2 and 4 years ago,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Vacation/days off,,,Neither underpaid nor overpaid,Somewhat important,,5:00 PM,Java; JavaScript; Python; SQL,,SQL Server; MySQL,,Windows Desktop; Amazon Web Services (AWS),,Eclipse,Turn on some music,Male,Primary/elementary school,5872.852738,,22.0
3638,3638,3639,Student,No,India,"Yes, full-time","Not employed, and not looking for work",Secondary school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
3640,3640,3641,Student,"Yes, both",India,I prefer not to say,I prefer not to say,I prefer not to answer,,,,,,,Agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Strongly agree,,,,,,,,,,,,,,,,,LinkedIn; Monster; Naukri,,,,,10:00 AM,C; C++; C#; Java; R; SQL; VB.NET; VBA,,SQL Server; MySQL,,Windows Desktop,,Sublime Text; Android Studio; Visual Studio; Visual Studio Code,Turn on some music,,I prefer not to answer,,,0.0
3661,3661,3662,Student,No,India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,,,,,,Strongly agree,Strongly agree,Agree,,,,Strongly agree,Less than a year ago,,,,,,,,,,,,,,,Health benefits,,,,,,,,,,,,,,,,,,,2.5
3669,3669,3670,Professional developer,"Yes, both",India,"Yes, full-time",Employed full-time,Bachelor's degree,Computer science or software engineering,1 to 5 years,Mobile developer,,6.0,5.0,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Between 1 and 2 years ago,Important,Important,Important,Important,Somewhat important,Important,Somewhat important,Somewhat important,Somewhat important,Not very important,Important,Important,Important,Important,Annual bonus; Equipment; Professional development sponsorship; Remote options; Meals,,,,Important,On-the-job training,11:00 AM,Java,,SQLite,SQLite,Android,Android; Mac OS; Arduino,Android Studio; Eclipse; IntelliJ,Keep the room absolutely quiet,Male,No education,38715.28756637354,,25.5
3671,3671,3672,Professional developer,"Yes, I program as a hobby",India,No,Employed full-time,Bachelor's degree,Computer engineering or electrical/electronics engineering,10 to 15 years,Web developer,,9.0,6.0,,,,,,,,Not applicable/ never,Somewhat important,Very important,Very important,Important,Important,Very important,Important,Important,Very important,Very important,Very important,Important,Very important,Very important,Vacation/days off; Private office; Professional development sponsorship; Expected work hours; Remote options,LinkedIn; Monster; Naukri,A career fair or on-campus recruiting event,,Somewhat important,Online course; Part-time/evening course; On-the-job training; Self-taught,7:00 AM,C#; F#; SQL,C#; F#; Haskell; JavaScript; R; Scala; SQL,PostgreSQL,Cassandra; MongoDB; PostgreSQL,Amazon Web Services (AWS),iOS; Mac OS; Raspberry Pi; Amazon Web Services (AWS); Microsoft Azure,Notepad++; Vim; Visual Studio; Visual Studio Code,Turn on some music,Male,A bachelor's degree,67455.78263092657,,31.5
3673,3673,3674,Student,No,India,"Yes, full-time","Not employed, and not looking for work",Bachelor's degree,Computer engineering or electrical/electronics engineering,,,,,,Strongly agree,Agree,Strongly agree,Agree,Somewhat agree,Disagree,Agree,Not applicable/ never,Very important,Important,Very important,Important,Somewhat important,Somewhat important,Very important,Important,Important,Important,Important,Somewhat important,Somewhat important,Important,Vacation/days off; Health benefits; Expected work hours; Remote options; Meals,LinkedIn,,,,,10:00 AM,Java,Java; Python,,,Android,Android,Sublime Text; Android Studio,Turn on some music,Male,A master's degree,,14682.13185,28.0
3683,3683,3684,Student,"Yes, I program as a hobby",India,No,"Not employed, but looking for work",Bachelor's degree,Computer science or software engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Self-taught,,,,,,,,,,,,,880.9279107,0.0
3697,3697,3698,Professional developer,"Yes, I program as a hobby",India,No,"Independent contractor, freelancer, or self-employed",Master's degree,Computer science or software engineering,5 to 10 years,Web developer,,8.0,8.0,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57454.15413633065,,0.0
3702,3702,3703,Professional developer,"Yes, both",India,"Yes, full-time",Employed full-time,Bachelor's degree,A non-computer-focused engineering discipline,1 to 5 years,Web developer; Developer with a statistics or mathematics background,,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34152.73776106599,,0.0
3705,3705,3706,Professional developer,"Yes, I program as a hobby",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,5 to 10 years,Web developer,,8.0,4.0,,,,,,,,Between 2 and 4 years ago,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Important,Very important,Very important,Important,Very important,Vacation/days off; Professional development sponsorship; Long-term leave; Expected work hours; Remote options,,,Greatly underpaid,Very important,On-the-job training; Self-taught; Coding competition,10:00 AM,Java,Groovy; Java; Python; Ruby; Scala,,MongoDB; PostgreSQL,,Android; Serverless; Amazon Web Services (AWS),IntelliJ,Turn on some music,Male,High school,8677.139921,,33.0
3709,3709,3710,Professional developer,"Yes, I program as a hobby",India,"Yes, full-time",Employed full-time,Master's degree,Computer engineering or electrical/electronics engineering,Less than a year,Web developer; Database administrator,,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33298.75204458006,,0.0
3711,3711,3712,Professional developer,No,India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,10 to 15 years,Web developer,,8.0,6.0,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,More than 4 years ago,Very important,Not very important,Very important,Very important,Very important,Very important,Very important,Very important,Important,Very important,Very important,Very important,Very important,Very important,Stock options; Vacation/days off; Equipment; Long-term leave; Remote options,Hired.com; LinkedIn,I was contacted directly by someone at the company (e.g. internal recruiter),,Not at all important,Online course; Part-time/evening course; Self-taught; Coding competition; Hackathon,8:00 AM,Java,Go,PostgreSQL,Cassandra,,,Vim; Eclipse,Turn on some music,Male,A bachelor's degree,82845.42494629922,,33.0
3718,3718,3719,Professional developer,No,India,No,Employed full-time,Bachelor's degree,Computer engineering or electrical/electronics engineering,1 to 5 years,Web developer,,7.0,4.0,Somewhat agree,Agree,Strongly agree,Agree,Agree,Disagree,Disagree,Between 2 and 4 years ago,Very important,Somewhat important,Important,Important,Very important,Very important,Very important,Very important,Important,Very important,Very important,Important,Important,Somewhat important,Health benefits; Equipment; Education sponsorship,LinkedIn; Naukri,A career fair or on-campus recruiting event,Somewhat underpaid,Not very important,On-the-job training,11:00 AM,Java,Java; JavaScript,Oracle,MongoDB,Windows Desktop,Linux Desktop; Amazon Web Services (AWS),Notepad++; Eclipse,Turn on some music,Male,A bachelor's degree,5872.852738,,31.5
3720,3720,3721,Student,"Yes, both",India,"Yes, full-time","Independent contractor, freelancer, or self-employed",I prefer not to answer,,,,,,,,,,,,,,Not applicable/ never,Very important,Very important,Important,Important,Very important,Important,Very important,Very important,Important,Important,Very important,Important,Very important,Very important,Annual bonus; Vacation/days off; Long-term leave; Expected work hours; Remote options,LinkedIn,,,,Online course; Bootcamp; Self-taught; Open source contributions,9:00 AM,C; C++; Go; Java; JavaScript; PHP; Python; SQL,Assembly; C; C++; C#; Common Lisp; F#; Go; Java; JavaScript; PHP; Python; R; Ruby; Rust; SQL; Swift; TypeScript,MongoDB; MySQL; SQLite,MongoDB; SQL Server; MySQL; PostgreSQL; SQLite,Android; Linux Desktop; WordPress,Android; iOS; Windows Phone; Windows Desktop; Linux Desktop; Mac OS; Raspberry Pi; WordPress; Amazon Web Services (AWS); Microsoft Azure,Atom; Notepad++; Sublime Text; Visual Studio; Visual Studio Code,Keep the room absolutely quiet,Male,A master's degree,,,32.0
3723,3723,3724,Professional developer,No,India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,1 to 5 years,Web developer; Mobile developer,,7.0,7.0,Agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Between 1 and 2 years ago,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Important,,,,,,,,,,,,,,,,,,,,,,,,,44545.600362656354,,13.5
3727,3727,3728,Student,"Yes, I program as a hobby",India,"Yes, full-time",Employed full-time,Bachelor's degree,Computer programming or Web development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
3731,3731,3732,Professional developer,"Yes, both",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,1 to 5 years,Mobile developer,,8.0,9.0,,,,,,,,Less than a year ago,Somewhat important,Important,,Somewhat important,Important,Somewhat important,Very important,,,,,,,,,,,,,,,,,,,,,,,,,38715.28756637354,,13.5
3733,3733,3734,Professional developer,"Yes, I program as a hobby",India,"Yes, full-time",Employed full-time,Professional degree,Computer science or software engineering,5 to 10 years,Web developer; Mobile developer; Database administrator,,9.0,8.0,,,,,,,,Between 1 and 2 years ago,,,,,,,,,,,,,,,None of these,,,,Somewhat important,Open source contributions,,,,,,,,,,,,52440.94312624926,,2.5
3737,3737,3738,Professional developer,"Yes, both",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,Less than a year,Web developer; Mobile developer,,3.0,1.0,Strongly agree,Strongly agree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33298.75204458006,,0.0
3738,3738,3739,Professional developer,"Yes, I program as a hobby",India,"Yes, full-time",Employed full-time,Master's degree,Computer science or software engineering,1 to 5 years,Web developer,,7.0,3.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,,,,,,,,,,,,,,,,,,,,Somewhat important,Online course; Hackathon,7:00 AM,,Java; JavaScript; TypeScript,MongoDB; Redis; MySQL; Oracle,,Amazon Web Services (AWS),Linux Desktop; Mac OS; Serverless; Amazon Web Services (AWS),Notepad++; Sublime Text; Eclipse,Keep the room absolutely quiet,Male,A master's degree,34152.73776106599,,0.0
3744,3744,3745,Professional developer,"Yes, I program as a hobby",India,No,Employed full-time,Bachelor's degree,"Information technology, networking, or system administration",1 to 5 years,Web developer,,4.0,4.0,,,,,,,,Less than a year ago,Important,Important,Important,Important,Important,Important,Very important,Important,Important,Important,Important,Somewhat important,Somewhat important,Somewhat important,,,,,Somewhat important,Online course; On-the-job training; Self-taught,,,,,,,,,,,,34152.73776106599,,28.0
3750,3750,3751,Professional developer,"Yes, I program as a hobby",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,1 to 5 years,Web developer,,8.0,7.0,Agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Less than a year ago,Somewhat important,Important,Important,Important,Somewhat important,Important,Very important,Important,Important,Somewhat important,Somewhat important,Important,Important,Important,Annual bonus; Vacation/days off; Health benefits; Professional development sponsorship; Education sponsorship,LinkedIn; Naukri,I was contacted directly by someone at the company (e.g. internal recruiter),,,,7:00 PM,PHP; SQL,PHP; SQL,MySQL,MySQL,WordPress; Amazon Web Services (AWS),WordPress; Amazon Web Services (AWS),Notepad++; Zend,Keep the room absolutely quiet,Male,High school,34152.73776106599,,27.0
3759,3759,3760,Professional developer,"Yes, I program as a hobby",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,,Mobile developer,,10.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
3768,3768,3769,Professional developer,"Yes, I program as a hobby",India,"Yes, full-time",Employed full-time,Bachelor's degree,Computer engineering or electrical/electronics engineering,1 to 5 years,Web developer,,7.0,7.0,,,,,,,,Less than a year ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34152.73776106599,,2.5
3776,3776,3777,Student,No,India,"Yes, full-time","Not employed, but looking for work",Secondary school,,,,,,,Strongly agree,Agree,Somewhat agree,Agree,Strongly agree,Strongly disagree,Strongly agree,,,,,,,,,,,,,,,,,Hired.com; LinkedIn; Other,,,,,10:00 PM,C; C++; C#; Java; JavaScript; PHP; R; SQL,C; C++; C#; PHP; R; SQL,MySQL,Cassandra; MongoDB; MySQL,Windows Desktop; Linux Desktop,iOS; Windows Phone; Windows Desktop; Linux Desktop; Arduino; Raspberry Pi; Amazon Web Services (AWS); Microsoft Azure,Sublime Text,Something else,Male,"Some college/university study, no bachelor's degree",,35237.11643,0.0
3792,3792,3793,Student,"Yes, both",India,"Yes, part-time","Not employed, but looking for work",Bachelor's degree,Computer science or software engineering,,,,,,Agree,Strongly agree,Agree,Agree,Agree,Disagree,Agree,,,,,,,,,,,,,,,,,LinkedIn,,,,Online course; Part-time/evening course; Self-taught; Coding competition,Noon,C; Groovy; Java; Python,Dart; Go; Groovy; Java; JavaScript; Julia; Python,MySQL; SQLite,MongoDB,Android,Android; Amazon Web Services (AWS),Atom; Android Studio; IntelliJ,Keep the room absolutely quiet,Male,"Some college/university study, no bachelor's degree",,11197.37235,0.0
3795,3795,3796,Professional non-developer who sometimes writes code,No,India,No,Employed full-time,Master's degree,"Information technology, networking, or system administration",1 to 5 years,,Other,5.0,6.0,Strongly agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Agree,,,,,,,,,,,,,,,,,,,,,Self-taught,8:00 AM,Java; JavaScript; PHP; SQL; Visual Basic 6,Java; JavaScript; PHP; SQL,SQL Server; MySQL; PostgreSQL,SQL Server; MySQL; PostgreSQL; SQLite,Android,Android,Notepad++; Android Studio; Eclipse; PHPStorm,Turn on some music,Male,A master's degree,50307.65896485172,,0.0
3804,3804,3805,Professional developer,"Yes, both",India,No,Employed full-time,Bachelor's degree,Computer programming or Web development,1 to 5 years,Web developer,,8.0,6.0,,,,,,,,Less than a year ago,Somewhat important,Important,Very important,Very important,Very important,Very important,Important,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important,Very important,Equipment; Professional development sponsorship; Remote options; Child/elder care; Meals,,,Somewhat underpaid,Not very important,Bootcamp; On-the-job training; Self-taught; Coding competition,Noon,Assembly; Matlab; PHP; Python; R,Java; JavaScript,SQL Server; MySQL; Oracle,,Windows Desktop; Linux Desktop; Mac OS; Arduino; WordPress,Android; Raspberry Pi; Amazon Web Services (AWS),Atom; Notepad++; Sublime Text; Eclipse,Turn on some music,,,8515.63647,,31.0
3808,3808,3809,Professional non-developer who sometimes writes code,"Yes, I program as a hobby",India,No,Employed full-time,Bachelor's degree,Computer engineering or electrical/electronics engineering,1 to 5 years,,Other,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,LinkedIn,I visited the company's Web site and found a job listing there,,,Online course; Industry certification; Open source contributions,,Python,Java; R,,Redis,,Android; iOS; Linux Desktop; Arduino,Vim; Android Studio,Keep the room absolutely quiet,Male,A bachelor's degree,38715.28756637354,,0.0
3821,3821,3822,Professional developer,"Yes, both",India,"Yes, full-time",Employed full-time,Bachelor's degree,"Information technology, networking, or system administration",1 to 5 years,Web developer; Mobile developer; Graphic designer; Desktop applications developer; Database administrator,,9.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,LinkedIn,I visited the company's Web site and found a job listing there,,Very important,Online course; Bootcamp,,,,,,,,,,,,38715.28756637354,,0.0
3827,3827,3828,Professional developer,No,India,"Yes, full-time",Employed full-time,Bachelor's degree,Computer engineering or electrical/electronics engineering,5 to 10 years,Web developer; Embedded applications/devices developer; Desktop applications developer,,8.0,6.0,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Somewhat agree,,,,,,,,,,,,,,,,,,,Greatly underpaid,Very important,Self-taught,10:00 AM,C; C#; Java; PHP,Haskell; Objective-C,MySQL; PostgreSQL,Oracle,Windows Desktop; Linux Desktop,Mac OS,Notepad++; Vim; Eclipse; Visual Studio,Turn on some music,Male,A bachelor's degree,11745.70548,,0.0
3828,3828,3829,None of these,"Yes, I program as a hobby",India,"Yes, full-time",Employed full-time,Bachelor's degree,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,Indeed; Naukri; Other,,,,Bootcamp,,,,,,,,,,,,,,0.0
3840,3840,3841,Professional developer,"Yes, both",India,"Yes, full-time",Employed full-time,Bachelor's degree,Computer science or software engineering,1 to 5 years,Mobile developer,,7.0,6.0,,,,,,,,Between 1 and 2 years ago,,,,,,Not at all important,,,,,,,,,Annual bonus,LinkedIn; Naukri,An external recruiter or headhunter,,Important,On-the-job training,,,,,,,,,,Male,I don't know/not sure,34152.73776106599,,3.0
3842,3842,3843,Professional developer,"Yes, I program as a hobby",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,1 to 5 years,Web developer,,9.0,7.0,Strongly agree,Agree,Agree,Strongly agree,,Somewhat agree,Strongly agree,Between 2 and 4 years ago,Important,Somewhat important,Important,Very important,Important,Very important,Important,Somewhat important,Not very important,Somewhat important,Important,Somewhat important,Important,Very important,Annual bonus; Vacation/days off; Health benefits; Education sponsorship; Remote options,LinkedIn,"A friend, family member, or former colleague told me",,Somewhat important,Self-taught,9:00 AM,JavaScript; PHP; SQL,TypeScript,MySQL,MongoDB,Windows Desktop; Linux Desktop; WordPress,Mac OS,Notepad++; NetBeans,Turn on some music,Male,Primary/elementary school,44545.600362656354,,26.5
3846,3846,3847,Student,"Yes, I program as a hobby",India,"Yes, full-time",I prefer not to say,I never completed any formal education,,,,,,,,,,,,,,Less than a year ago,Important,Important,Important,Important,Somewhat important,Very important,Important,Important,Very important,Important,Very important,Very important,Somewhat important,Important,Charitable match; Health benefits; Long-term leave; Child/elder care,LinkedIn; Naukri,,,,Online course; Part-time/evening course; Industry certification; Self-taught; Open source contributions,10:00 PM,Assembly; C#; SQL,Assembly; C++; C#; Java; JavaScript; Perl; PHP; SQL,MySQL; PostgreSQL; Oracle,MySQL; PostgreSQL; Oracle,Android; Windows Desktop; Linux Desktop; WordPress; Amazon Web Services (AWS),Android; Windows Phone; Windows Desktop; Linux Desktop; WordPress; Amazon Web Services (AWS),Notepad++; Android Studio; Eclipse; NetBeans,Keep the room absolutely quiet,Male,A bachelor's degree,,14682.13185,29.5
3873,3873,3874,Professional developer,No,India,"Yes, full-time",Employed full-time,Bachelor's degree,Computer programming or Web development,1 to 5 years,Web developer,,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Not very important,Self-taught,,,,,,,,,,,,34152.73776106599,,0.0
3878,3878,3879,Professional developer,"Yes, both",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,1 to 5 years,Web developer,,8.0,7.0,Strongly agree,Strongly agree,Somewhat agree,Disagree,Agree,Strongly disagree,Agree,,,,,,,,,,,,,,,,,LinkedIn,An external recruiter or headhunter,Neither underpaid nor overpaid,,,10:00 AM,Java; Scala,Haskell; Scala,MongoDB; MySQL; PostgreSQL,Cassandra; MongoDB; MySQL; PostgreSQL,Android; Mac OS; Amazon Web Services (AWS),Android; Linux Desktop; Mac OS; Amazon Web Services (AWS),Atom; Android Studio; IntelliJ,Keep the room absolutely quiet,Male,,29364.26369,,0.0
3884,3884,3885,Student,"Yes, I program as a hobby",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,,,,,,Agree,Agree,Somewhat agree,Disagree,Somewhat agree,,,,,,,,,,,,,,,,,,,Monster,,,,,,,,,,,,,,,,,,0.0
3894,3894,3895,Professional developer,"Yes, I program as a hobby",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,5 to 10 years,Desktop applications developer; Other,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,LinkedIn; Monster; Naukri,A career fair or on-campus recruiting event,,,,,,,,,,,,,,,57454.15413633065,,0.0
3907,3907,3908,Professional developer,"Yes, I program as a hobby",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,1 to 5 years,Web developer,,9.0,6.0,,,,,,,,Between 2 and 4 years ago,Somewhat important,Important,Important,Important,Very important,Important,Very important,Very important,Very important,Important,Very important,Important,Very important,Very important,Health benefits; Professional development sponsorship; Remote options; Child/elder care; Meals,LinkedIn; Naukri,"A friend, family member, or former colleague told me",,Somewhat important,Online course; On-the-job training; Self-taught; Coding competition; Open source contributions,10:00 AM,Java; JavaScript; SQL,,Cassandra; MongoDB; MySQL; Oracle,,Windows Desktop,,Notepad++; Sublime Text; Eclipse,Keep the room absolutely quiet,Male,A bachelor's degree,38715.28756637354,,31.0
3909,3909,3910,Professional developer,"Yes, I contribute to open source projects",India,No,"Not employed, but looking for work",Bachelor's degree,Computer science or software engineering,Less than a year,Graphics programming,,1.0,,Strongly agree,Strongly agree,Strongly agree,,,Strongly disagree,Agree,Less than a year ago,,,,,,,,,,,,,,,,,,,Not at all important,Online course; On-the-job training,,,,,,,,,,,,33298.75204458006,,2.5
3912,3912,3913,Professional developer,"Yes, both",India,No,Employed full-time,Bachelor's degree,Computer engineering or electrical/electronics engineering,1 to 5 years,Embedded applications/devices developer; Other,,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,LinkedIn; Naukri,A career fair or on-campus recruiting event,,Important,Online course; On-the-job training; Self-taught; Coding competition; Open source contributions,7:00 AM,Assembly; C,C++; Python,,,Android; Linux Desktop,Mac OS,Sublime Text; Vim,Turn on some music,Male,Primary/elementary school,38715.28756637354,,0.0
3918,3918,3919,Professional developer,"Yes, both",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,Less than a year,Web developer; Embedded applications/devices developer; Graphic designer; Desktop applications developer; Database administrator; Systems administrator; DevOps specialist; Quality assurance engineer,,7.0,9.0,,,,,,,,Less than a year ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33298.75204458006,,2.5
3925,3925,3926,Professional developer,No,India,No,Employed full-time,Master's degree,Computer programming or Web development,1 to 5 years,Web developer,,5.0,5.0,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,LinkedIn,"A friend, family member, or former colleague told me",Somewhat underpaid,,,11:00 AM,PHP,PHP,MySQL,MySQL,Linux Desktop,Linux Desktop,NetBeans,Turn on some music,Male,High school,5138.746146,,0.0
3927,3927,3928,Professional developer,"Yes, I program as a hobby",India,No,Employed full-time,Professional degree,Computer science or software engineering,1 to 5 years,Web developer,,9.0,8.0,Agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Less than a year ago,,,,,,,,,,,,,,,Health benefits; Expected work hours; Remote options,Naukri,I was contacted directly by someone at the company (e.g. internal recruiter),,Important,Self-taught,9:00 AM,Java; JavaScript; SQL,,MongoDB; MySQL; PostgreSQL; Oracle,,Windows Desktop; Amazon Web Services (AWS),,Eclipse; NetBeans,Keep the room absolutely quiet,Male,A professional degree,44545.600362656354,,2.5
3930,3930,3931,Professional developer,No,India,No,Employed full-time,Bachelor's degree,Computer programming or Web development,1 to 5 years,Web developer; Mobile developer,,8.0,7.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Not applicable/ never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Important,Somewhat important,Very important,Important,Annual bonus; Vacation/days off; Health benefits; Long-term leave; Expected work hours,,,,Somewhat important,Online course; Self-taught,10:00 AM,JavaScript,TypeScript,,Cassandra; MongoDB; PostgreSQL,Salesforce,Salesforce,Atom; Sublime Text; Eclipse,Turn on some music,Male,High school,38715.28756637354,,32.5
3938,3938,3939,Student,"Yes, I program as a hobby",India,No,"Not employed, and not looking for work",Primary/elementary school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
